ID,Parameter_ID,Name,Description,Number
158-X,158,X,feature is not applicable (given the structural make-up of the variety/P/C),5
158-NA,158,?,no information on feature is available,6
159-A,159,A,feature is pervasive or obligatory,1
159-B,159,B,feature is neither pervasive nor extremely rare,2
159-C,159,C,"feature exists, but is extremely rare",3
159-D,159,D,attested absence of feature,4
159-X,159,X,feature is not applicable (given the structural make-up of the variety/P/C),5
159-NA,159,?,no information on feature is available,6
160-A,160,A,feature is pervasive or obligatory,1
160-B,160,B,feature is neither pervasive nor extremely rare,2
160-C,160,C,"feature exists, but is extremely rare",3
160-D,160,D,attested absence of feature,4
160-X,160,X,feature is not applicable (given the structural make-up of the variety/P/C),5
160-NA,160,?,no information on feature is available,6
161-A,161,A,feature is pervasive or obligatory,1
161-B,161,B,feature is neither pervasive nor extremely rare,2
161-C,161,C,"feature exists, but is extremely rare",3
161-D,161,D,attested absence of feature,4
161-X,161,X,feature is not applicable (given the structural make-up of the variety/P/C),5
161-NA,161,?,no information on feature is available,6
162-A,162,A,feature is pervasive or obligatory,1
162-B,162,B,feature is neither pervasive nor extremely rare,2
162-C,162,C,"feature exists, but is extremely rare",3
162-D,162,D,attested absence of feature,4
162-X,162,X,feature is not applicable (given the structural make-up of the variety/P/C),5
162-NA,162,?,no information on feature is available,6
163-A,163,A,feature is pervasive or obligatory,1
163-B,163,B,feature is neither pervasive nor extremely rare,2
163-C,163,C,"feature exists, but is extremely rare",3
163-D,163,D,attested absence of feature,4
163-X,163,X,feature is not applicable (given the structural make-up of the variety/P/C),5
163-NA,163,?,no information on feature is available,6
164-A,164,A,feature is pervasive or obligatory,1
164-B,164,B,feature is neither pervasive nor extremely rare,2
164-C,164,C,"feature exists, but is extremely rare",3
164-D,164,D,attested absence of feature,4
164-X,164,X,feature is not applicable (given the structural make-up of the variety/P/C),5
164-NA,164,?,no information on feature is available,6
165-A,165,A,feature is pervasive or obligatory,1
165-B,165,B,feature is neither pervasive nor extremely rare,2
165-C,165,C,"feature exists, but is extremely rare",3
165-D,165,D,attested absence of feature,4
165-X,165,X,feature is not applicable (given the structural make-up of the variety/P/C),5
165-NA,165,?,no information on feature is available,6
166-A,166,A,feature is pervasive or obligatory,1
166-B,166,B,feature is neither pervasive nor extremely rare,2
166-C,166,C,"feature exists, but is extremely rare",3
166-D,166,D,attested absence of feature,4
166-X,166,X,feature is not applicable (given the structural make-up of the variety/P/C),5
166-NA,166,?,no information on feature is available,6
167-A,167,A,feature is pervasive or obligatory,1
167-B,167,B,feature is neither pervasive nor extremely rare,2
167-C,167,C,"feature exists, but is extremely rare",3
167-D,167,D,attested absence of feature,4
167-X,167,X,feature is not applicable (given the structural make-up of the variety/P/C),5
167-NA,167,?,no information on feature is available,6
168-A,168,A,feature is pervasive or obligatory,1
168-B,168,B,feature is neither pervasive nor extremely rare,2
168-C,168,C,"feature exists, but is extremely rare",3
168-D,168,D,attested absence of feature,4
168-X,168,X,feature is not applicable (given the structural make-up of the variety/P/C),5
168-NA,168,?,no information on feature is available,6
169-A,169,A,feature is pervasive or obligatory,1
169-B,169,B,feature is neither pervasive nor extremely rare,2
169-C,169,C,"feature exists, but is extremely rare",3
169-D,169,D,attested absence of feature,4
169-X,169,X,feature is not applicable (given the structural make-up of the variety/P/C),5
169-NA,169,?,no information on feature is available,6
170-A,170,A,feature is pervasive or obligatory,1
170-B,170,B,feature is neither pervasive nor extremely rare,2
170-C,170,C,"feature exists, but is extremely rare",3
170-D,170,D,attested absence of feature,4
170-X,170,X,feature is not applicable (given the structural make-up of the variety/P/C),5
170-NA,170,?,no information on feature is available,6
171-A,171,A,feature is pervasive or obligatory,1
171-B,171,B,feature is neither pervasive nor extremely rare,2
171-C,171,C,"feature exists, but is extremely rare",3
171-D,171,D,attested absence of feature,4
171-X,171,X,feature is not applicable (given the structural make-up of the variety/P/C),5
171-NA,171,?,no information on feature is available,6
172-A,172,A,feature is pervasive or obligatory,1
172-B,172,B,feature is neither pervasive nor extremely rare,2
172-C,172,C,"feature exists, but is extremely rare",3
172-D,172,D,attested absence of feature,4
172-X,172,X,feature is not applicable (given the structural make-up of the variety/P/C),5
172-NA,172,?,no information on feature is available,6
173-A,173,A,feature is pervasive or obligatory,1
173-B,173,B,feature is neither pervasive nor extremely rare,2
173-C,173,C,"feature exists, but is extremely rare",3
173-D,173,D,attested absence of feature,4
173-X,173,X,feature is not applicable (given the structural make-up of the variety/P/C),5
173-NA,173,?,no information on feature is available,6
174-A,174,A,feature is pervasive or obligatory,1
174-B,174,B,feature is neither pervasive nor extremely rare,2
174-C,174,C,"feature exists, but is extremely rare",3
174-D,174,D,attested absence of feature,4
174-X,174,X,feature is not applicable (given the structural make-up of the variety/P/C),5
174-NA,174,?,no information on feature is available,6
175-A,175,A,feature is pervasive or obligatory,1
175-B,175,B,feature is neither pervasive nor extremely rare,2
175-C,175,C,"feature exists, but is extremely rare",3
175-D,175,D,attested absence of feature,4
175-X,175,X,feature is not applicable (given the structural make-up of the variety/P/C),5
175-NA,175,?,no information on feature is available,6
176-A,176,A,feature is pervasive or obligatory,1
176-B,176,B,feature is neither pervasive nor extremely rare,2
176-C,176,C,"feature exists, but is extremely rare",3
176-D,176,D,attested absence of feature,4
176-X,176,X,feature is not applicable (given the structural make-up of the variety/P/C),5
176-NA,176,?,no information on feature is available,6
177-A,177,A,feature is pervasive or obligatory,1
177-B,177,B,feature is neither pervasive nor extremely rare,2
177-C,177,C,"feature exists, but is extremely rare",3
177-D,177,D,attested absence of feature,4
177-X,177,X,feature is not applicable (given the structural make-up of the variety/P/C),5
177-NA,177,?,no information on feature is available,6
178-A,178,A,feature is pervasive or obligatory,1
178-B,178,B,feature is neither pervasive nor extremely rare,2
178-C,178,C,"feature exists, but is extremely rare",3
178-D,178,D,attested absence of feature,4
178-X,178,X,feature is not applicable (given the structural make-up of the variety/P/C),5
178-NA,178,?,no information on feature is available,6
179-A,179,A,feature is pervasive or obligatory,1
179-B,179,B,feature is neither pervasive nor extremely rare,2
179-C,179,C,"feature exists, but is extremely rare",3
179-D,179,D,attested absence of feature,4
179-X,179,X,feature is not applicable (given the structural make-up of the variety/P/C),5
179-NA,179,?,no information on feature is available,6
180-A,180,A,feature is pervasive or obligatory,1
180-B,180,B,feature is neither pervasive nor extremely rare,2
180-C,180,C,"feature exists, but is extremely rare",3
180-D,180,D,attested absence of feature,4
180-X,180,X,feature is not applicable (given the structural make-up of the variety/P/C),5
180-NA,180,?,no information on feature is available,6
181-A,181,A,feature is pervasive or obligatory,1
181-B,181,B,feature is neither pervasive nor extremely rare,2
181-C,181,C,"feature exists, but is extremely rare",3
181-D,181,D,attested absence of feature,4
181-X,181,X,feature is not applicable (given the structural make-up of the variety/P/C),5
181-NA,181,?,no information on feature is available,6
182-A,182,A,feature is pervasive or obligatory,1
182-B,182,B,feature is neither pervasive nor extremely rare,2
182-C,182,C,"feature exists, but is extremely rare",3
182-D,182,D,attested absence of feature,4
182-X,182,X,feature is not applicable (given the structural make-up of the variety/P/C),5
182-NA,182,?,no information on feature is available,6
183-A,183,A,feature is pervasive or obligatory,1
183-B,183,B,feature is neither pervasive nor extremely rare,2
183-C,183,C,"feature exists, but is extremely rare",3
183-D,183,D,attested absence of feature,4
183-X,183,X,feature is not applicable (given the structural make-up of the variety/P/C),5
183-NA,183,?,no information on feature is available,6
184-A,184,A,feature is pervasive or obligatory,1
184-B,184,B,feature is neither pervasive nor extremely rare,2
184-C,184,C,"feature exists, but is extremely rare",3
184-D,184,D,attested absence of feature,4
184-X,184,X,feature is not applicable (given the structural make-up of the variety/P/C),5
184-NA,184,?,no information on feature is available,6
185-A,185,A,feature is pervasive or obligatory,1
185-B,185,B,feature is neither pervasive nor extremely rare,2
185-C,185,C,"feature exists, but is extremely rare",3
185-D,185,D,attested absence of feature,4
185-X,185,X,feature is not applicable (given the structural make-up of the variety/P/C),5
185-NA,185,?,no information on feature is available,6
186-A,186,A,feature is pervasive or obligatory,1
186-B,186,B,feature is neither pervasive nor extremely rare,2
186-C,186,C,"feature exists, but is extremely rare",3
186-D,186,D,attested absence of feature,4
186-X,186,X,feature is not applicable (given the structural make-up of the variety/P/C),5
186-NA,186,?,no information on feature is available,6
187-A,187,A,feature is pervasive or obligatory,1
187-B,187,B,feature is neither pervasive nor extremely rare,2
187-C,187,C,"feature exists, but is extremely rare",3
187-D,187,D,attested absence of feature,4
187-X,187,X,feature is not applicable (given the structural make-up of the variety/P/C),5
187-NA,187,?,no information on feature is available,6
188-A,188,A,feature is pervasive or obligatory,1
188-B,188,B,feature is neither pervasive nor extremely rare,2
188-C,188,C,"feature exists, but is extremely rare",3
188-D,188,D,attested absence of feature,4
188-X,188,X,feature is not applicable (given the structural make-up of the variety/P/C),5
188-NA,188,?,no information on feature is available,6
189-A,189,A,feature is pervasive or obligatory,1
189-B,189,B,feature is neither pervasive nor extremely rare,2
189-C,189,C,"feature exists, but is extremely rare",3
189-D,189,D,attested absence of feature,4
189-X,189,X,feature is not applicable (given the structural make-up of the variety/P/C),5
189-NA,189,?,no information on feature is available,6
190-A,190,A,feature is pervasive or obligatory,1
190-B,190,B,feature is neither pervasive nor extremely rare,2
190-C,190,C,"feature exists, but is extremely rare",3
190-D,190,D,attested absence of feature,4
190-X,190,X,feature is not applicable (given the structural make-up of the variety/P/C),5
190-NA,190,?,no information on feature is available,6
191-A,191,A,feature is pervasive or obligatory,1
191-B,191,B,feature is neither pervasive nor extremely rare,2
191-C,191,C,"feature exists, but is extremely rare",3
191-D,191,D,attested absence of feature,4
191-X,191,X,feature is not applicable (given the structural make-up of the variety/P/C),5
191-NA,191,?,no information on feature is available,6
192-A,192,A,feature is pervasive or obligatory,1
192-B,192,B,feature is neither pervasive nor extremely rare,2
192-C,192,C,"feature exists, but is extremely rare",3
192-D,192,D,attested absence of feature,4
192-X,192,X,feature is not applicable (given the structural make-up of the variety/P/C),5
192-NA,192,?,no information on feature is available,6
193-A,193,A,feature is pervasive or obligatory,1
193-B,193,B,feature is neither pervasive nor extremely rare,2
193-C,193,C,"feature exists, but is extremely rare",3
193-D,193,D,attested absence of feature,4
193-X,193,X,feature is not applicable (given the structural make-up of the variety/P/C),5
193-NA,193,?,no information on feature is available,6
194-A,194,A,feature is pervasive or obligatory,1
194-B,194,B,feature is neither pervasive nor extremely rare,2
194-C,194,C,"feature exists, but is extremely rare",3
194-D,194,D,attested absence of feature,4
194-X,194,X,feature is not applicable (given the structural make-up of the variety/P/C),5
194-NA,194,?,no information on feature is available,6
195-A,195,A,feature is pervasive or obligatory,1
195-B,195,B,feature is neither pervasive nor extremely rare,2
195-C,195,C,"feature exists, but is extremely rare",3
195-D,195,D,attested absence of feature,4
195-X,195,X,feature is not applicable (given the structural make-up of the variety/P/C),5
195-NA,195,?,no information on feature is available,6
196-A,196,A,feature is pervasive or obligatory,1
196-B,196,B,feature is neither pervasive nor extremely rare,2
196-C,196,C,"feature exists, but is extremely rare",3
196-D,196,D,attested absence of feature,4
196-X,196,X,feature is not applicable (given the structural make-up of the variety/P/C),5
196-NA,196,?,no information on feature is available,6
197-A,197,A,feature is pervasive or obligatory,1
197-B,197,B,feature is neither pervasive nor extremely rare,2
197-C,197,C,"feature exists, but is extremely rare",3
197-D,197,D,attested absence of feature,4
197-X,197,X,feature is not applicable (given the structural make-up of the variety/P/C),5
197-NA,197,?,no information on feature is available,6
198-A,198,A,feature is pervasive or obligatory,1
198-B,198,B,feature is neither pervasive nor extremely rare,2
198-C,198,C,"feature exists, but is extremely rare",3
198-D,198,D,attested absence of feature,4
198-X,198,X,feature is not applicable (given the structural make-up of the variety/P/C),5
198-NA,198,?,no information on feature is available,6
199-A,199,A,feature is pervasive or obligatory,1
199-B,199,B,feature is neither pervasive nor extremely rare,2
199-C,199,C,"feature exists, but is extremely rare",3
199-D,199,D,attested absence of feature,4
199-X,199,X,feature is not applicable (given the structural make-up of the variety/P/C),5
199-NA,199,?,no information on feature is available,6
200-A,200,A,feature is pervasive or obligatory,1
200-B,200,B,feature is neither pervasive nor extremely rare,2
200-C,200,C,"feature exists, but is extremely rare",3
200-D,200,D,attested absence of feature,4
200-X,200,X,feature is not applicable (given the structural make-up of the variety/P/C),5
200-NA,200,?,no information on feature is available,6
201-A,201,A,feature is pervasive or obligatory,1
201-B,201,B,feature is neither pervasive nor extremely rare,2
201-C,201,C,"feature exists, but is extremely rare",3
201-D,201,D,attested absence of feature,4
201-X,201,X,feature is not applicable (given the structural make-up of the variety/P/C),5
201-NA,201,?,no information on feature is available,6
202-A,202,A,feature is pervasive or obligatory,1
202-B,202,B,feature is neither pervasive nor extremely rare,2
202-C,202,C,"feature exists, but is extremely rare",3
202-D,202,D,attested absence of feature,4
202-X,202,X,feature is not applicable (given the structural make-up of the variety/P/C),5
202-NA,202,?,no information on feature is available,6
203-A,203,A,feature is pervasive or obligatory,1
203-B,203,B,feature is neither pervasive nor extremely rare,2
203-C,203,C,"feature exists, but is extremely rare",3
203-D,203,D,attested absence of feature,4
203-X,203,X,feature is not applicable (given the structural make-up of the variety/P/C),5
203-NA,203,?,no information on feature is available,6
204-A,204,A,feature is pervasive or obligatory,1
204-B,204,B,feature is neither pervasive nor extremely rare,2
204-C,204,C,"feature exists, but is extremely rare",3
204-D,204,D,attested absence of feature,4
204-X,204,X,feature is not applicable (given the structural make-up of the variety/P/C),5
204-NA,204,?,no information on feature is available,6
205-A,205,A,feature is pervasive or obligatory,1
205-B,205,B,feature is neither pervasive nor extremely rare,2
205-C,205,C,"feature exists, but is extremely rare",3
205-D,205,D,attested absence of feature,4
205-X,205,X,feature is not applicable (given the structural make-up of the variety/P/C),5
205-NA,205,?,no information on feature is available,6
206-A,206,A,feature is pervasive or obligatory,1
206-B,206,B,feature is neither pervasive nor extremely rare,2
206-C,206,C,"feature exists, but is extremely rare",3
206-D,206,D,attested absence of feature,4
206-X,206,X,feature is not applicable (given the structural make-up of the variety/P/C),5
206-NA,206,?,no information on feature is available,6
207-A,207,A,feature is pervasive or obligatory,1
207-B,207,B,feature is neither pervasive nor extremely rare,2
207-C,207,C,"feature exists, but is extremely rare",3
207-D,207,D,attested absence of feature,4
207-X,207,X,feature is not applicable (given the structural make-up of the variety/P/C),5
207-NA,207,?,no information on feature is available,6
208-A,208,A,feature is pervasive or obligatory,1
208-B,208,B,feature is neither pervasive nor extremely rare,2
208-C,208,C,"feature exists, but is extremely rare",3
208-D,208,D,attested absence of feature,4
208-X,208,X,feature is not applicable (given the structural make-up of the variety/P/C),5
208-NA,208,?,no information on feature is available,6
209-A,209,A,feature is pervasive or obligatory,1
209-B,209,B,feature is neither pervasive nor extremely rare,2
209-C,209,C,"feature exists, but is extremely rare",3
209-D,209,D,attested absence of feature,4
209-X,209,X,feature is not applicable (given the structural make-up of the variety/P/C),5
209-NA,209,?,no information on feature is available,6
210-A,210,A,feature is pervasive or obligatory,1
210-B,210,B,feature is neither pervasive nor extremely rare,2
210-C,210,C,"feature exists, but is extremely rare",3
210-D,210,D,attested absence of feature,4
210-X,210,X,feature is not applicable (given the structural make-up of the variety/P/C),5
210-NA,210,?,no information on feature is available,6
211-A,211,A,feature is pervasive or obligatory,1
211-B,211,B,feature is neither pervasive nor extremely rare,2
211-C,211,C,"feature exists, but is extremely rare",3
211-D,211,D,attested absence of feature,4
211-X,211,X,feature is not applicable (given the structural make-up of the variety/P/C),5
211-NA,211,?,no information on feature is available,6
212-A,212,A,feature is pervasive or obligatory,1
212-B,212,B,feature is neither pervasive nor extremely rare,2
212-C,212,C,"feature exists, but is extremely rare",3
212-D,212,D,attested absence of feature,4
212-X,212,X,feature is not applicable (given the structural make-up of the variety/P/C),5
212-NA,212,?,no information on feature is available,6
213-A,213,A,feature is pervasive or obligatory,1
213-B,213,B,feature is neither pervasive nor extremely rare,2
213-C,213,C,"feature exists, but is extremely rare",3
213-D,213,D,attested absence of feature,4
213-X,213,X,feature is not applicable (given the structural make-up of the variety/P/C),5
213-NA,213,?,no information on feature is available,6
214-A,214,A,feature is pervasive or obligatory,1
214-B,214,B,feature is neither pervasive nor extremely rare,2
214-C,214,C,"feature exists, but is extremely rare",3
214-D,214,D,attested absence of feature,4
214-X,214,X,feature is not applicable (given the structural make-up of the variety/P/C),5
214-NA,214,?,no information on feature is available,6
215-A,215,A,feature is pervasive or obligatory,1
215-B,215,B,feature is neither pervasive nor extremely rare,2
215-C,215,C,"feature exists, but is extremely rare",3
215-D,215,D,attested absence of feature,4
215-X,215,X,feature is not applicable (given the structural make-up of the variety/P/C),5
215-NA,215,?,no information on feature is available,6
216-A,216,A,feature is pervasive or obligatory,1
216-B,216,B,feature is neither pervasive nor extremely rare,2
216-C,216,C,"feature exists, but is extremely rare",3
216-D,216,D,attested absence of feature,4
216-X,216,X,feature is not applicable (given the structural make-up of the variety/P/C),5
216-NA,216,?,no information on feature is available,6
217-A,217,A,feature is pervasive or obligatory,1
217-B,217,B,feature is neither pervasive nor extremely rare,2
217-C,217,C,"feature exists, but is extremely rare",3
217-D,217,D,attested absence of feature,4
217-X,217,X,feature is not applicable (given the structural make-up of the variety/P/C),5
217-NA,217,?,no information on feature is available,6
218-A,218,A,feature is pervasive or obligatory,1
218-B,218,B,feature is neither pervasive nor extremely rare,2
218-C,218,C,"feature exists, but is extremely rare",3
218-D,218,D,attested absence of feature,4
218-X,218,X,feature is not applicable (given the structural make-up of the variety/P/C),5
218-NA,218,?,no information on feature is available,6
219-A,219,A,feature is pervasive or obligatory,1
219-B,219,B,feature is neither pervasive nor extremely rare,2
219-C,219,C,"feature exists, but is extremely rare",3
219-D,219,D,attested absence of feature,4
219-X,219,X,feature is not applicable (given the structural make-up of the variety/P/C),5
219-NA,219,?,no information on feature is available,6
220-A,220,A,feature is pervasive or obligatory,1
220-B,220,B,feature is neither pervasive nor extremely rare,2
220-C,220,C,"feature exists, but is extremely rare",3
220-D,220,D,attested absence of feature,4
220-X,220,X,feature is not applicable (given the structural make-up of the variety/P/C),5
220-NA,220,?,no information on feature is available,6
221-A,221,A,feature is pervasive or obligatory,1
221-B,221,B,feature is neither pervasive nor extremely rare,2
221-C,221,C,"feature exists, but is extremely rare",3
221-D,221,D,attested absence of feature,4
221-X,221,X,feature is not applicable (given the structural make-up of the variety/P/C),5
221-NA,221,?,no information on feature is available,6
222-A,222,A,feature is pervasive or obligatory,1
222-B,222,B,feature is neither pervasive nor extremely rare,2
222-C,222,C,"feature exists, but is extremely rare",3
222-D,222,D,attested absence of feature,4
222-X,222,X,feature is not applicable (given the structural make-up of the variety/P/C),5
222-NA,222,?,no information on feature is available,6
223-A,223,A,feature is pervasive or obligatory,1
223-B,223,B,feature is neither pervasive nor extremely rare,2
223-C,223,C,"feature exists, but is extremely rare",3
223-D,223,D,attested absence of feature,4
223-X,223,X,feature is not applicable (given the structural make-up of the variety/P/C),5
223-NA,223,?,no information on feature is available,6
224-A,224,A,feature is pervasive or obligatory,1
224-B,224,B,feature is neither pervasive nor extremely rare,2
224-C,224,C,"feature exists, but is extremely rare",3
224-D,224,D,attested absence of feature,4
224-X,224,X,feature is not applicable (given the structural make-up of the variety/P/C),5
224-NA,224,?,no information on feature is available,6
225-A,225,A,feature is pervasive or obligatory,1
225-B,225,B,feature is neither pervasive nor extremely rare,2
225-C,225,C,"feature exists, but is extremely rare",3
225-D,225,D,attested absence of feature,4
225-X,225,X,feature is not applicable (given the structural make-up of the variety/P/C),5
225-NA,225,?,no information on feature is available,6
226-A,226,A,feature is pervasive or obligatory,1
226-B,226,B,feature is neither pervasive nor extremely rare,2
226-C,226,C,"feature exists, but is extremely rare",3
226-D,226,D,attested absence of feature,4
226-X,226,X,feature is not applicable (given the structural make-up of the variety/P/C),5
226-NA,226,?,no information on feature is available,6
227-A,227,A,feature is pervasive or obligatory,1
227-B,227,B,feature is neither pervasive nor extremely rare,2
227-C,227,C,"feature exists, but is extremely rare",3
227-D,227,D,attested absence of feature,4
227-X,227,X,feature is not applicable (given the structural make-up of the variety/P/C),5
227-NA,227,?,no information on feature is available,6
228-A,228,A,feature is pervasive or obligatory,1
228-B,228,B,feature is neither pervasive nor extremely rare,2
228-C,228,C,"feature exists, but is extremely rare",3
228-D,228,D,attested absence of feature,4
228-X,228,X,feature is not applicable (given the structural make-up of the variety/P/C),5
228-NA,228,?,no information on feature is available,6
229-A,229,A,feature is pervasive or obligatory,1
229-B,229,B,feature is neither pervasive nor extremely rare,2
229-C,229,C,"feature exists, but is extremely rare",3
229-D,229,D,attested absence of feature,4
229-X,229,X,feature is not applicable (given the structural make-up of the variety/P/C),5
229-NA,229,?,no information on feature is available,6
230-A,230,A,feature is pervasive or obligatory,1
230-B,230,B,feature is neither pervasive nor extremely rare,2
230-C,230,C,"feature exists, but is extremely rare",3
230-D,230,D,attested absence of feature,4
230-X,230,X,feature is not applicable (given the structural make-up of the variety/P/C),5
230-NA,230,?,no information on feature is available,6
231-A,231,A,feature is pervasive or obligatory,1
231-B,231,B,feature is neither pervasive nor extremely rare,2
231-C,231,C,"feature exists, but is extremely rare",3
231-D,231,D,attested absence of feature,4
231-X,231,X,feature is not applicable (given the structural make-up of the variety/P/C),5
231-NA,231,?,no information on feature is available,6
232-A,232,A,feature is pervasive or obligatory,1
232-B,232,B,feature is neither pervasive nor extremely rare,2
232-C,232,C,"feature exists, but is extremely rare",3
232-D,232,D,attested absence of feature,4
232-X,232,X,feature is not applicable (given the structural make-up of the variety/P/C),5
232-NA,232,?,no information on feature is available,6
233-A,233,A,feature is pervasive or obligatory,1
233-B,233,B,feature is neither pervasive nor extremely rare,2
233-C,233,C,"feature exists, but is extremely rare",3
233-D,233,D,attested absence of feature,4
233-X,233,X,feature is not applicable (given the structural make-up of the variety/P/C),5
233-NA,233,?,no information on feature is available,6
234-A,234,A,feature is pervasive or obligatory,1
234-B,234,B,feature is neither pervasive nor extremely rare,2
234-C,234,C,"feature exists, but is extremely rare",3
234-D,234,D,attested absence of feature,4
234-X,234,X,feature is not applicable (given the structural make-up of the variety/P/C),5
234-NA,234,?,no information on feature is available,6
235-A,235,A,feature is pervasive or obligatory,1
235-B,235,B,feature is neither pervasive nor extremely rare,2
235-C,235,C,"feature exists, but is extremely rare",3
235-D,235,D,attested absence of feature,4
235-X,235,X,feature is not applicable (given the structural make-up of the variety/P/C),5
235-NA,235,?,no information on feature is available,6
