value,sentence
848,1
1298,2
2199,3
2649,4
6249,5
9847,6
10297,7
11198,8
11649,9
13898,10
15247,11
15247,12
15247,13
16147,14
16597,15
17047,16
18398,17
18848,18
19298,19
19748,20
20648,21
21098,22
21547,23
23349,24
24698,25
25598,26
26048,27
26947,28
27399,29
28748,30
29198,31
29649,32
30097,33
30547,34
30997,35
31447,36
31899,37
34599,38
35049,39
35498,40
43149,41
45849,42
49449,43
49897,44
50797,45
52597,46
53947,47
55299,48
57547,49
57997,50
58897,51
59347,52
59799,53
60699,54
65648,55
69247,56
70149,57
71049,58
71497,59
77348,60
77798,61
78249,62
79148,63
79598,64
80049,65
80498,66
86797,67
90399,68
92199,69
95798,70
97149,71
99399,72
99849,73
100299,74
100748,75
101199,76
102098,77
102547,78
102997,79
104349,80
104349,81
104798,82
105248,83
2065,84
2065,85
2515,86
2966,87
3416,88
4315,89
4765,90
5216,91
5216,92
6115,93
7018,94
8366,95
8820,96
9266,97
9715,98
10165,99
10617,100
14216,101
15115,102
17816,103
22765,104
23216,105
24566,106
24566,107
25015,108
26365,109
26816,110
28165,111
29515,112
29965,113
30415,114
31316,115
31765,116
32665,117
33117,118
34465,119
41665,120
46615,121
49316,122
49765,123
51115,124
52016,125
57865,126
59215,127
62815,128
63265,129
63716,130
66415,131
66865,132
67315,133
67765,134
69115,135
71365,136
71815,137
46501,527
74065,138
74065,139
75865,140
76315,141
77665,142
79015,143
79465,144
79916,145
82615,146
84865,147
86215,148
87115,149
89815,150
90265,151
91167,152
92066,153
92518,154
95666,155
97015,156
97466,157
97466,158
97466,159
98366,160
98815,161
99265,162
99715,163
100615,164
101065,165
102415,166
102865,167
104666,168
1249,169
3049,170
3499,171
4400,172
6199,173
7099,174
15199,175
17450,176
17900,177
18349,178
18799,179
19249,180
19699,181
19699,182
20149,183
21050,184
21499,185
23750,186
24199,187
24649,188
25099,189
25550,190
26000,191
27799,192
28250,193
28700,194
31849,195
34999,196
35450,197
35900,198
37700,199
41300,200
44449,201
44899,202
45350,203
48949,204
50749,205
52099,206
52549,207
57499,208
57950,209
57950,210
58399,211
59299,212
59750,213
65150,214
66049,215
70999,216
71449,217
74149,218
74599,219
75949,220
76399,221
77299,222
78200,223
78650,224
79100,225
79550,226
83150,227
83150,228
83600,229
87200,230
87650,231
88099,232
88551,233
88999,234
91699,235
92149,236
93949,237
96649,238
98899,239
99349,240
99801,241
100700,242
102049,243
102499,244
102499,245
102949,246
103851,247
105650,248
3037,249
3488,250
3937,251
4387,252
6187,253
18337,254
18787,255
19237,256
20137,257
21037,258
21487,259
21937,260
23288,261
24637,262
25537,263
25987,264
26438,265
26887,266
27787,267
28237,268
28687,269
29588,270
30037,271
31837,272
32288,273
34537,274
34987,275
35887,276
36337,277
36788,278
37687,279
38587,280
39037,281
39489,282
39939,283
43087,284
44887,285
45337,286
48937,287
50737,288
52537,289
55237,290
55688,291
57037,292
57487,293
58389,294
59287,295
59738,296
65139,297
69188,298
70987,299
71437,300
72337,301
72789,302
73237,303
74137,304
75937,305
76387,306
77287,307
77737,308
77737,309
78187,310
78637,311
79088,312
79538,313
79988,314
80887,315
86737,316
87187,317
91689,318
93487,319
93937,320
95739,321
78363,463
96637,322
99787,323
100237,324
100687,325
102037,326
102487,327
102937,328
103839,329
105187,330
51,331
1399,332
2749,333
2749,334
3201,335
4549,336
4999,337
5449,338
11299,339
12199,340
12199,341
12649,342
12649,343
12649,344
13999,345
13999,346
14900,347
14900,348
23900,349
24799,350
24799,351
30199,352
30199,353
31100,354
31100,355
31999,356
31999,357
34699,358
34699,359
35150,360
35600,361
35600,362
42351,363
42799,364
44151,365
44601,366
50451,367
57199,368
57199,369
57649,370
58099,371
58549,372
59899,373
59899,374
62149,375
62149,376
65749,377
65749,378
68899,379
68899,380
69349,381
69349,382
69799,383
69799,384
70699,385
71149,386
71149,387
72949,388
72949,389
76099,390
76099,391
76999,392
80599,393
80599,394
80163,464
80599,395
82399,396
82399,397
82849,398
82849,399
85099,400
85099,401
86000,402
86451,403
88250,404
88701,405
91399,406
91399,407
99049,408
99049,409
102649,410
102649,411
104000,412
104449,413
104449,414
104449,415
104899,416
105349,417
63,418
513,419
2762,420
3212,421
11313,422
12212,423
14912,424
18963,425
24812,426
28412,427
30212,428
30212,429
35613,430
35613,431
39213,432
44163,433
44163,434
45063,435
45063,436
50463,437
50463,438
52263,439
52263,440
53613,441
53613,442
57213,443
57213,444
57663,445
58563,446
65762,447
68912,448
68912,449
69363,450
69813,451
70263,452
70713,453
71162,454
71162,455
73861,456
73861,457
73861,458
76113,459
76563,460
77011,461
78363,462
80163,465
80613,466
82863,467
82863,468
83313,469
85113,470
86462,471
86462,472
86913,473
86913,474
88263,475
88263,476
90513,477
91412,478
91412,479
95463,480
95463,481
96813,482
98612,483
99062,484
102662,485
104912,486
105362,487
151,488
1952,489
1952,490
2851,491
5551,492
6001,493
6001,494
6901,495
8251,496
8701,497
9151,498
9601,499
10051,500
15001,501
20401,502
21301,503
23101,504
23553,505
24001,506
26703,507
27603,508
28503,509
29402,510
30301,511
30751,512
31201,513
33002,514
34351,515
34351,516
34351,517
34801,518
35251,519
35701,520
37053,521
39302,522
40651,523
41551,524
45151,525
45151,526
48751,528
48751,529
50102,530
51001,531
51001,532
51001,533
52801,534
53252,535
55952,536
56401,537
62251,538
62251,539
65401,540
65851,541
69001,542
69452,543
69901,544
70351,545
70801,546
71251,547
73951,548
76201,549
77101,550
78001,551
78451,552
79351,553
79801,554
80702,555
82951,556
84752,557
85202,558
87903,559
88352,560
90152,561
90602,562
91052,563
91502,564
91951,565
92401,566
95552,567
96002,568
96901,569
96901,570
97353,571
98252,572
98701,573
99151,574
99601,575
100052,576
100502,577
101402,578
101851,579
102301,580
102751,581
103653,582
1154,583
2053,584
2503,585
2954,586
3405,587
4303,588
4753,589
19232,752
6103,590
8803,591
9253,592
10153,593
14203,594
15103,595
17805,596
19605,597
20504,598
22753,599
23203,600
24105,601
25453,602
25903,603
26353,604
27703,605
28153,606
28605,607
29503,608
29953,609
31303,610
31753,611
32653,612
33105,613
34454,614
41654,615
46603,616
49303,617
49753,618
50654,619
51103,620
51553,621
52004,622
54254,623
57853,624
59203,625
62353,626
62803,627
63253,628
66403,629
66853,630
67303,631
67753,632
68203,633
71353,634
71803,635
74053,636
74953,637
75853,638
76303,639
77655,640
78103,641
79453,642
82603,643
84853,644
86203,645
87103,646
88455,647
89355,648
89803,649
90254,650
91155,651
92053,652
92954,653
95654,654
96104,655
96554,656
97003,657
98353,658
98804,659
99254,660
99703,661
100153,662
100604,663
101053,664
102403,665
102853,666
104654,667
104654,668
104654,669
279,670
2977,671
3427,672
6579,673
9279,674
12428,675
15128,676
18279,677
18279,678
18727,679
20078,680
21429,681
21429,682
21879,683
24577,684
24577,685
24577,686
26379,687
27279,688
57626,1951
27727,689
27727,690
27727,691
27727,692
28178,693
28629,694
31778,695
31778,696
31778,697
34478,698
34928,699
35828,700
35828,701
36279,702
37628,703
38529,704
39427,705
39427,706
39878,707
40779,708
50678,709
50678,710
53827,711
55179,712
55179,713
57429,714
58328,715
65078,716
65977,717
69129,718
69129,719
71377,720
74077,721
75878,722
76329,723
77229,724
83082,725
87127,726
87127,727
91628,728
93429,729
93878,730
96129,731
97029,732
98829,733
99279,734
99727,735
99727,736
101978,737
102430,738
102877,739
103779,740
105578,741
3032,742
10232,743
12482,744
15182,745
17882,746
17882,747
17882,748
18782,749
18782,750
18782,751
19232,753
19682,754
19682,755
20133,756
23282,757
24632,758
27782,759
27782,760
27782,761
28232,762
28232,763
34982,764
36782,765
37683,766
39482,767
39482,768
39482,769
39933,770
43982,771
44432,772
44432,773
44882,774
50732,775
50732,776
50732,777
55232,778
55232,779
57033,780
66032,781
70983,782
74132,783
74132,784
74132,785
74132,786
93932,787
94832,788
97533,789
99783,790
102033,791
102932,792
102932,793
105183,794
105633,795
1292,796
2641,797
4442,798
4892,799
5343,800
6241,801
7143,802
7591,803
9393,804
13443,805
13443,806
13892,807
14342,808
14792,809
15241,810
15693,811
16141,812
16141,813
16591,814
18842,815
19292,816
19741,817
20641,818
20641,819
21091,820
22442,821
22442,822
23343,823
23343,824
25591,825
26041,826
26041,827
30092,828
30542,829
31893,830
33244,831
34592,832
35491,833
35491,834
35491,835
35943,836
39542,837
39992,838
39992,839
41791,840
46741,841
49892,842
51242,843
57991,844
58892,845
58892,846
59341,847
61592,848
62941,849
62941,850
63391,851
63391,852
63841,853
67893,854
67893,855
69243,856
69692,857
71492,858
71941,859
71941,860
72392,861
74191,862
74191,863
75541,864
76441,865
77342,866
77342,867
78241,868
78691,869
79142,870
79592,871
80042,872
86791,873
87243,874
89043,875
90391,876
91293,877
92191,878
92642,879
94442,880
95792,881
97142,882
98492,883
98492,884
98942,885
99393,886
99393,887
101192,888
101192,889
101192,890
102542,891
102992,892
104792,893
6164,894
6164,895
6615,896
15164,897
16964,898
17413,899
17863,900
18763,901
19213,902
19663,903
20113,904
20564,905
21014,906
21463,907
24613,908
25064,909
25965,910
26413,911
26863,912
27763,913
28213,914
28663,915
29564,916
30014,917
31814,918
32714,919
34964,920
35414,921
35864,922
39463,923
39913,924
44863,925
45314,926
50713,927
53413,928
57014,929
57915,930
58365,931
59265,932
65565,933
70965,934
71865,935
74113,936
76365,937
77264,938
78164,939
78614,940
79065,941
57626,1952
79965,942
80415,943
86715,944
87163,945
88513,946
92564,947
97065,948
99315,949
99763,950
100663,951
102013,952
102463,953
102913,954
103365,955
105163,956
105613,957
482,958
3182,959
3182,960
3182,961
4533,962
4533,963
4533,964
4982,965
5433,966
5883,967
9033,968
11733,969
11733,970
12181,971
13083,972
13083,973
13083,974
13533,975
13533,976
14433,977
14883,978
15333,979
15333,980
21183,981
21632,982
24782,983
24782,984
24782,985
24782,986
26582,987
26582,988
27483,989
27933,990
30181,991
30181,992
30181,993
31082,994
34682,995
34682,996
35132,997
39182,998
29449,2584
39632,999
39632,1000
40532,1001
40532,1002
40532,1003
40982,1004
40982,1005
40982,1006
40982,1007
40982,1008
44583,1009
56734,1010
57182,1011
57632,1012
57632,1013
57632,1014
57632,1015
57632,1016
57632,1017
57632,1018
57632,1019
58082,1020
58082,1021
58082,1022
58082,1023
58532,1024
58532,1025
58532,1026
58532,1027
58532,1028
58532,1029
58532,1030
58983,1031
59433,1032
59433,1033
59883,1034
60333,1035
60782,1036
61232,1037
61682,1038
65283,1039
65731,1040
68882,1041
68882,1042
68882,1043
68882,1044
68882,1045
68882,1046
69333,1047
69333,1048
70682,1049
70682,1050
71132,1051
71132,1052
73831,1053
73831,1054
73831,1055
73831,1056
73831,1057
73831,1058
75183,1059
76083,1060
76083,1061
76083,1062
76083,1063
76532,1064
76532,1065
76532,1066
76982,1067
76982,1068
76982,1069
76982,1070
76982,1071
76982,1072
76982,1073
76982,1074
76982,1075
76982,1076
76982,1077
76982,1078
76982,1079
76982,1080
76982,1081
76982,1082
80132,1083
80132,1084
80132,1085
80132,1086
80132,1087
80132,1088
80132,1089
80582,1090
80582,1091
80582,1092
80582,1093
80582,1094
80582,1095
80582,1096
82383,1097
82834,1098
82834,1099
82834,1100
82834,1101
82834,1102
83283,1103
83732,1104
83732,1105
83732,1106
84183,1107
85082,1108
85082,1109
85982,1110
86433,1111
86433,1112
86433,1113
90482,1114
90482,1115
91382,1116
96782,1117
96782,1118
96782,1119
96782,1120
98582,1121
98582,1122
99031,1123
99031,1124
99031,1125
99031,1126
99031,1127
99031,1128
99031,1129
99031,1130
99931,1131
99931,1132
100381,1133
100381,1134
100834,1135
100834,1136
101732,1137
101732,1138
102184,1139
102632,1140
104881,1141
104881,1142
104881,1143
104881,1144
104881,1145
104881,1146
104881,1147
104881,1148
104881,1149
104881,1150
104881,1151
105331,1152
105331,1153
45,1154
494,1155
2744,1156
3195,1157
4544,1158
4993,1159
5445,1160
5894,1161
11293,1162
12194,1163
13094,1164
13544,1165
13995,1166
14445,1167
14895,1168
15344,1169
24794,1170
26594,1171
28395,1172
30194,1173
31095,1174
31095,1175
34695,1176
40095,1177
40545,1178
40994,1179
42345,1180
42794,1181
43245,1182
45495,1183
53594,1184
57194,1185
58094,1186
58544,1187
59895,1188
60345,1189
60345,1190
60795,1191
62145,1192
62145,1193
65743,1194
68893,1195
69344,1196
69795,1197
70695,1198
71144,1199
73844,1200
76545,1201
76993,1202
78345,1203
80144,1204
83745,1205
85095,1206
86443,1207
90495,1208
90945,1209
91394,1210
94545,1211
96794,1212
97244,1213
97244,1214
98594,1215
98594,1216
99043,1217
99945,1218
100395,1219
102194,1220
102644,1221
103993,1222
104893,1223
104893,1224
16912,3136
555,1225
1005,1226
2803,1227
3255,1228
3703,1229
4155,1230
4604,1231
5503,1232
5954,1233
6855,1234
8654,1235
9104,1236
9555,1237
10455,1238
11805,1239
12254,1240
13605,1241
14505,1242
14954,1243
15405,1244
16755,1245
19005,1246
21254,1247
22605,1248
25754,1249
26205,1250
29355,1251
29805,1252
30253,1253
31154,1254
31154,1255
31605,1256
34305,1257
34755,1258
35205,1259
39254,1260
39705,1261
40155,1262
43305,1263
44204,1264
44654,1265
45105,1266
39297,1389
45555,1267
46005,1268
46005,1269
46453,1270
46904,1271
49605,1272
50953,1273
51855,1274
52755,1275
53655,1276
56355,1277
57254,1278
57704,1279
58155,1280
58604,1281
59054,1282
59505,1283
59954,1284
60405,1285
60854,1286
62205,1287
64455,1288
64455,1289
65804,1290
68953,1291
69403,1292
69853,1293
70304,1294
70753,1295
71204,1296
73005,1297
73005,1298
73905,1299
76154,1300
76604,1301
77053,1302
77504,1303
77504,1304
77954,1305
78404,1306
78854,1307
79304,1308
79754,1309
80654,1310
80654,1311
80654,1312
16912,3137
80654,1313
81105,1314
81105,1315
81555,1316
83355,1317
84705,1318
85154,1319
85605,1320
86504,1321
88305,1322
90554,1323
91005,1324
91455,1325
93705,1326
94155,1327
95955,1328
96405,1329
96855,1330
98205,1331
98654,1332
99104,1333
101354,1334
101804,1335
102255,1336
102705,1337
104955,1338
596,1339
1946,1340
1946,1341
1946,1342
2396,1343
2846,1344
3747,1345
4196,1346
4196,1347
4646,1348
5096,1349
5546,1350
5995,1351
102337,1612
6896,1352
7797,1353
8246,1354
8696,1355
9146,1356
9597,1357
10047,1358
10497,1359
11397,1360
13197,1361
13647,1362
14547,1363
14996,1364
14996,1365
17246,1366
19047,1367
19497,1368
20397,1369
20847,1370
20847,1371
21297,1372
22195,1373
22645,1374
23095,1375
23095,1376
24446,1377
25346,1378
25346,1379
25796,1380
29395,1381
30295,1382
31196,1383
32997,1384
34346,1385
34796,1386
35247,1387
35697,1388
39747,1390
40196,1391
40646,1392
41096,1393
41547,1394
46046,1395
46496,1396
48746,1397
49647,1398
50546,1399
50995,1400
52796,1401
53697,1402
54147,1403
55047,1404
55946,1405
56396,1406
57297,1407
57745,1408
58647,1409
59095,1410
59997,1411
63147,1412
65847,1413
66297,1414
66747,1415
67197,1416
67647,1417
68995,1418
69446,1419
69897,1420
70346,1421
70796,1422
71246,1423
71697,1424
73946,1425
76195,1426
76646,1427
77095,1428
77545,1429
77545,1430
77995,1431
78445,1432
78897,1433
79345,1434
79795,1435
80695,1436
85196,1437
86547,1438
89695,1439
90146,1440
90597,1441
91047,1442
91946,1443
92396,1444
93296,1445
94197,1446
95547,1447
95997,1448
96896,1449
98247,1450
98696,1451
99146,1452
99597,1453
100047,1454
100496,1455
100947,1456
101397,1457
101846,1458
102295,1459
102745,1460
1076,1461
1525,1462
1975,1463
2425,1464
2875,1465
4225,1466
6927,1467
7376,1468
10076,1469
15025,1470
15025,1471
18627,1472
19077,1473
19976,1474
20427,1475
22226,1476
22676,1477
25375,1478
25825,1479
27626,1480
29425,1481
29876,1482
30325,1483
31226,1484
33028,1485
33476,1486
34376,1487
39776,1488
41576,1489
46525,1490
49676,1491
49676,1492
50575,1493
51027,1494
51475,1495
57775,1496
59125,1497
59125,1498
62726,1499
62726,1500
63176,1501
67677,1502
69026,1503
71275,1504
71275,1505
71725,1506
71725,1507
76225,1508
77575,1509
78026,1510
78476,1511
78926,1512
79375,1513
79827,1514
79827,1515
85225,1516
85225,1517
85225,1518
85225,1519
86576,1520
87026,1521
89727,1522
90176,1523
91975,1524
91975,1525
92425,1526
93325,1527
95576,1528
95576,1529
96926,1530
100075,1531
100525,1532
100525,1533
100525,1534
100975,1535
102325,1536
102775,1537
105026,1538
1087,1539
1987,1540
1987,1541
1987,1542
2437,1543
2437,1544
2437,1545
3787,1546
3787,1547
3787,1548
4237,1549
4237,1550
4237,1551
4687,1552
6037,1553
6487,1554
6487,1555
7837,1556
8287,1557
9187,1558
9637,1559
10087,1560
10537,1561
100087,1611
14138,1562
14138,1563
15037,1564
15487,1565
15487,1566
15487,1567
22237,1568
23138,1569
29437,1570
30787,1571
31237,1572
31237,1573
31687,1574
31687,1575
33037,1576
33037,1577
34387,1578
35737,1579
35737,1580
35737,1581
49237,1582
49237,1583
49237,1584
49687,1585
51037,1586
56887,1587
56887,1588
62737,1589
63187,1590
66337,1591
66337,1592
66337,1593
66337,1594
66787,1595
67237,1596
67687,1597
69037,1598
73988,1599
79387,1600
90187,1601
90187,1602
91087,1603
92437,1604
97387,1605
97387,1606
99187,1607
99187,1608
100087,1609
100087,1610
102337,1613
102337,1614
102787,1615
102787,1616
213,1617
1112,1618
2011,1619
2461,1620
2911,1621
3363,1622
4262,1623
6962,1628
7412,1629
7861,1630
8311,1631
8761,1632
8761,1633
9211,1634
9661,1635
10112,1636
11011,1637
11461,1638
14161,1639
15061,1640
17311,1641
19113,1642
20462,1643
22711,1644
23161,1645
24961,1646
25411,1647
25861,1648
27662,1649
28112,1650
29461,1651
30361,1652
30812,1653
31261,1654
33062,1655
33512,1656
33512,1657
34411,1658
34411,1659
34861,1660
35313,1661
35763,1662
40711,1663
41613,1664
44311,1665
45211,1666
46561,1667
48812,1668
49711,1669
50613,1670
51061,1671
52863,1672
53313,1673
58713,1674
59161,1675
62762,1676
63211,1677
65912,1678
66361,1679
66811,1680
67262,1681
67713,1682
68163,1683
69061,1684
69512,1685
69962,1686
70412,1687
70862,1688
71312,1689
71761,1690
72213,1691
74011,1692
74913,1693
75362,1694
76261,1695
76713,1696
77611,1697
77611,1698
78061,1699
79411,1700
79862,1701
79862,1702
80761,1703
83012,1704
84811,1705
85261,1706
86162,1707
86613,1708
88413,1709
89762,1710
90211,1711
91111,1712
91562,1713
58335,1772
58785,1773
92011,1714
92461,1715
93362,1716
94263,1717
95613,1718
96063,1719
96961,1720
97412,1721
98762,1722
99211,1723
99661,1724
100111,1725
101011,1726
102361,1727
102811,1728
105062,1729
105512,1730
2984,1731
3434,1732
6135,1733
7035,1734
12885,1735
18285,1736
19185,1737
20084,1738
20535,1739
20985,1740
21435,1741
23235,1742
24584,1743
26834,1744
27284,1745
28634,1746
31785,1747
34485,1748
34934,1749
35384,1750
35834,1751
36284,1752
36735,1753
37634,1754
38085,1755
38534,1756
39435,1757
39884,1758
40785,1759
44384,1760
44835,1761
45284,1762
48885,1763
52034,1764
52485,1765
53385,1766
53835,1767
55184,1768
56984,1769
57435,1770
57885,1771
65985,1774
70935,1775
73634,1776
75884,1777
77235,1778
79485,1779
80835,1780
88484,1781
91634,1782
93435,1783
93885,1784
96135,1785
96585,1786
97484,1787
98834,1788
99285,1789
99734,1790
100634,1791
101985,1792
102435,1793
102884,1794
103785,1795
104685,1796
105584,1797
429,1798
879,1799
1327,1800
1779,1801
2677,1802
3127,1803
4029,1804
5379,1805
6278,1806
7179,1807
9879,1808
12578,1809
13929,1810
13929,1811
15277,1812
17077,1813
17528,1814
18878,1815
19328,1816
19777,1817
22029,1818
23377,1819
23827,1820
24279,1821
24727,1822
25629,1823
26078,1824
27878,1825
28328,1826
29677,1827
30579,1828
31927,1829
32378,1830
34627,1831
35078,1832
35530,1833
35977,1834
41829,1835
42277,1836
44527,1837
45427,1838
49027,1839
49928,1840
50378,1841
51277,1842
54429,1843
55328,1844
55328,1845
56227,1846
56227,1847
56677,1848
59377,1849
62979,1850
63428,1851
63878,1852
66127,1853
67028,1854
67478,1855
69277,1856
71527,1857
71977,1858
72427,1859
72877,1860
74227,1861
74678,1862
76477,1863
78277,1864
78727,1865
79177,1866
79628,1867
80078,1868
80977,1869
86828,1870
87729,1871
90427,1872
91327,1873
92227,1874
92227,1875
92678,1876
94479,1877
94928,1878
95827,1879
95827,1880
96278,1881
96728,1882
97177,1883
98527,1884
98977,1885
99427,1886
99878,1887
100778,1888
102577,1889
103027,1890
103027,1891
104828,1892
27,1893
926,1894
2726,1895
4527,1896
4975,1897
4975,1898
5877,1899
6325,1900
6777,1901
11275,1902
12175,1903
12175,1904
12625,1905
14877,1906
14877,1907
14877,1908
14877,1909
18027,1910
21177,1911
22976,1912
23877,1913
26575,1914
28375,1915
28375,1916
28375,1917
28375,1918
28375,1919
30175,1920
30175,1921
30626,1922
30626,1923
30626,1924
31076,1925
31977,1926
32425,1927
32425,1928
34227,1929
34677,1930
34677,1931
34677,1932
35127,1933
35577,1934
38727,1935
38727,1936
39175,1937
39175,1938
39625,1939
39625,1940
42327,1941
42776,1942
43226,1943
44126,1944
44576,1945
45026,1946
45476,1947
45476,1948
50426,1949
57177,1950
57626,1953
58076,1954
59877,1955
59877,1956
60326,1957
60326,1958
62126,1959
62126,1960
65726,1961
68875,1962
71125,1963
72926,1964
76526,1965
76526,1966
76976,1967
80577,1968
82827,1969
85077,1970
86425,1971
90926,1972
96776,1973
98576,1974
98576,1975
99026,1976
99026,1977
99026,1978
99926,1979
99926,1980
100827,1981
101727,1982
102627,1983
103976,1984
104425,1985
104425,1986
104877,1987
2737,1988
4537,1989
4987,1990
8138,1991
11287,1992
11738,1993
12188,1994
12637,1995
14887,1996
15338,1997
21638,1998
24788,1999
26587,2000
27488,2001
27938,2002
28388,2003
30187,2004
31988,2005
34688,2006
39188,2007
42338,2008
42788,2009
54487,2010
55387,2011
57188,2012
57638,2013
58088,2014
58538,2015
61238,2016
62138,2017
65737,2018
68888,2019
70688,2020
71138,2021
72938,2022
80588,2023
81938,2024
82838,2025
83738,2026
84188,2027
85088,2028
85988,2029
86888,2030
88238,2031
90488,2032
90938,2033
91388,2034
94538,2035
96788,2036
98588,2037
99038,2038
101738,2039
103988,2040
104888,2041
105338,2042
79,2043
530,2044
2779,2045
3229,2046
4580,2047
4580,2048
6380,2049
6831,2050
6831,2051
13130,2052
13581,2053
14930,2054
14930,2055
15381,2056
18980,2057
21680,2058
23030,2059
23030,2060
23030,2061
24830,2062
24830,2063
28431,2064
28431,2065
30230,2066
30230,2067
39230,2068
39681,2069
40581,2070
41029,2071
41029,2072
41481,2073
41481,2074
41481,2075
41481,2076
42380,2077
42830,2078
43279,2079
43279,2080
43279,2081
43729,2082
43729,2083
45080,2084
45080,2085
45529,2086
45529,2087
50479,2088
52731,2089
53629,2090
57679,2091
58129,2092
58579,2093
59931,2094
60381,2095
60381,2096
62179,2097
62179,2098
62179,2099
62179,2100
64430,2101
64430,2102
68929,2103
68929,2104
69380,2105
71179,2106
71179,2107
